image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.842652,bus,van,False
drive_022,2,3,0.554593,car,car,True
drive_022,3,5,0.562464,truck,bus,False
drive_022,4,4,0.464965,car,car,True
drive_022,5,1,0.499437,car,car,True
drive_033,2,2,0.718073,truck,bus,False
drive_033,5,7,0.808661,car,car,True
drive_033,6,8,0.774103,car,car,True
drive_033,7,6,0.548031,car,car,True
drive_033,8,1,0.965504,bus,van,False
drive_033,9,3,0.685522,car,car,True
drive_033,10,4,0.813796,car,car,True
drive_033,11,9,0.781062,car,car,True
drive_033,14,5,0.639277,car,car,True
drive_033,15,11,0.937825,car,car,True
drive_033,16,12,0.953524,car,van,False
drive_033,17,10,0.822729,car,car,True
drive_038,2,9,0.769369,truck,bus,False
drive_038,3,17,0.63839,car,car,True
drive_038,4,16,0.663478,car,car,True
drive_038,7,13,0.482043,car,car,True
drive_038,8,14,0.723175,car,car,True
drive_038,9,11,0.727235,car,car,True
drive_038,10,10,0.739133,car,car,True
drive_038,11,12,0.913568,car,car,True
drive_038,12,2,0.869305,car,car,True
drive_038,15,6,0.862022,car,car,True
drive_038,17,3,0.926107,car,car,True
drive_038,18,5,0.873569,truck,bus,False
drive_038,19,7,0.647678,car,car,True
drive_038,20,8,0.821725,car,car,True
drive_038,21,15,0.795303,van,truck,False
drive_038,25,1,0.653249,car,car,True
drive_038,26,4,0.649966,car,car,True
drive_008,8,1,0.727757,truck,bus,False
drive_008,9,9,0.908656,bus,van,False
drive_008,12,14,0.724261,car,car,True
drive_008,13,13,0.555074,car,car,True
drive_008,14,7,0.596083,car,car,True
drive_008,16,12,0.624369,van,truck,False
drive_008,17,3,0.752406,van,truck,False
drive_008,18,6,0.702792,car,car,True
drive_008,19,11,0.824187,car,car,True
drive_008,20,16,0.756936,car,car,True
drive_008,22,5,0.26101,van,truck,False
drive_008,24,15,0.244041,car,car,True
drive_008,27,2,0.587385,car,car,True
drive_008,28,4,0.858668,car,car,True
